Date,Inventory Type,Site Name,Slot Name,Slot Size,Impressions,Earnings
2023-02-08,Web,nowtoronto.com,68572626/mp_leaderboard_bottom,970x90,46,0.02
2023-02-08,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_EOA_HP,970x250,10,0.01
2023-02-09,Web,nowtoronto.com,68572626/mp_leaderboard_bottom,320x50,105,0.03
2023-02-08,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_EOA_AP,728x90,19,0.04
2023-02-12,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_160x600_RHS_AP,160x600,52,0.07
2023-02-12,Web,nowtoronto.com,68572626/mp_leaderboard_bottom,320x50,19,0.01
2023-02-11,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_LB_HP,728x90,10,0.01
2023-02-08,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_LB_AP_M,336x280,80,0.02
2023-02-09,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_EOA_HP,970x250,10,0.01
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_EOA_SP,970x250,10,0.01
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_EOA_HP,970x250,21,0.01
2023-02-09,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR3_HP_M,300x250,7,0.00
2023-02-09,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_LB_HP_M,300x250,5,0.00
2023-02-12,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR1_HP,728x90,12,0.02
2023-02-08,Web,nowtoronto.com,68572626/mp_leaderboard_bottom,300x50,9,0.00
2023-02-10,Web,nowtoronto.com,68572626/mp_leaderboard_bottom,320x50,14,0.02
2023-02-09,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_GENERAL,970x250,1,0.00
2023-02-12,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR2_HP,300x250,6,0.00
2023-02-11,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_AXT,300x250,16,0.02
2023-02-11,Web,nowtoronto.com,68572626/mp_leaderboard_bottom,970x90,7,0.01
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_INR2_AP,336x280,2,0.00
2023-02-09,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR1_HP_M,300x250,6,0.00
2023-02-10,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_INR2_AP,970x250,5,0.01
2023-02-09,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR2_HP_M,300x250,10,0.01
2023-02-09,Web,nowtoronto.com,68572626/mp_leaderboard_top,728x90,9,0.00
2023-02-10,Web,nowtoronto.com,68572626/mp_leaderboard_bottom,970x90,6,0.00
2023-02-08,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_LB_HP_M,300x250,5,0.01
2023-02-09,Web,nowtoronto.com,68572626/mp_leaderboard_bottom,300x50,9,0.00
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR2_HP,728x90,8,0.02
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_160x600_AXT,160x600,2,0.00
2023-02-08,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR3_HP_M,300x250,8,0.01
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_AXT,970x250,1,0.00
2023-02-11,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_EOA_AP,728x90,11,0.02
