,Date,Inventory Type,Site Name,Slot Name,Slot Size,Impressions,Earnings
122,20230423,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_M_INR3_CP",320x100,0,0.0
11950,20230423,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_INR2_TAG",1x1,0,0.0
11953,20230423,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_300x600_M_INR2_CP",300x250,0,0.0
11956,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x600_RHS_JP",300x600,0,0.0
113,20230423,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_INR1_COMBO_RP",300x250,0,0.0
104,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_INR4_JP",970x250,0,0.0
93,20230423,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_M_EOA_CP",300x50,0,0.0
85,20230423,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_INR3_CP",300x50,0,0.0
79,20230423,Web,mapsofworld.com,1152375/Fr.MOW-728-1,728x90,1,0.0
12017,20230423,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_EOA_RP",300x600,36,0.53
12018,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_M_MH_JP",336x280,128,1.0
12019,20230423,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_970x250_MH_RP",970x90,19,0.04
71,20230423,AMP,divyabhaskar.co.in,/28928716/Divyabhaskar/AMP/M.DIVB_AMP_AL_BTF3_300x250,300x100,65,0.0
12020,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_MH_JP",728x90,38,0.22
12021,20230423,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_970x90_BMP_RP",970x90,110,0.63
68,20230423,Web,playerswiki.com,"21804848220,21667394145/ATD_Playerswiki/ATD_970x250_AXT",970x250,4,0.0
12022,20230423,AMP,bhaskar.com,/28928716/Bhaskar/AMP/M.DAB_AMP_AL_MID_300x250,300x250,4097,0.28
12023,20230423,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_BMP_RP",320x100,1,0.0
12033,20230423,Web,avsim.com,"21804848220,22589072596/ATD_avsim/ATD_300x250_top",336x280,155,0.04
290,20230423,Web,playerswiki.com,"21804848220,21667394145/ATD_Playerswiki/ATD_320x50_FWA_RHS_SP",320x50,1,0.0
11638,20230423,Web,glamourfame.com,"21804848220,21814143669/ATD_Glamourfame/ATD_320x100_FWA",320x50,14,0.02
295,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_BTM_HP",970x250,0,0.0
11281,20230423,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_300x600_AXT",300x600,0,0.0
530,20230423,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_300x250_M_INR3_RP",300x100,0,0.0
11248,20230423,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_300x250_M_INR3_TAG",320x100,0,0.0
526,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_M_INR5_JP",1x1,0,0.0
11253,20230423,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_300x250_M_INR2_CP",1x1,0,0.0
11263,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_M_INR1_JP",120x600,0,0.0
11274,20230423,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_970x250_EOA_RP",728x90,67,0.64
11275,20230423,Web,avsim.com,"21804848220,22589072596/ATD_avsim/ATD_970x250_EOP_D",970x250,1287,1.18
11276,20230423,Web,marriedceleb.com,"21804848220,21882441394/ATD_marriedceleb/ATD_728x90_AXT",728x90,220,0.30000000000000004
11277,20230423,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_970x250_EOA_RP",300x250,32,0.19
11278,20230423,Web,mapsofworld.com,1152375/ATD_MOW/ATD_300x600_GENERAL,300x250,23,0.03
11279,20230423,Web,mapsofworld.com,1152375/ATD_MOW/ATD_728x90_Header,728x90,120,0.07
11280,20230423,Web,marriedceleb.com,"21804848220,21882441394/ATD_marriedceleb/ATD_300x250_Top_AP",300x250,262,0.33
11282,20230423,Web,mapsofworld.com,1152375/ATD_MOW/ATD_300x250_combo_2,300x250,167,0.11
11389,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_INR5_CP",1x1,0,0.0
11326,20230423,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_INR2_HP",1x1,0,0.0
525,20230423,Web,playerswiki.com,/103512698/22868978639,970x250,0,0.0
515,20230423,AMP,divyabhaskar.co.in,/28928716/Divyabhaskar/AMP/M.DIVB_AMP_MID_300x250,300x250,191,0.09
509,20230423,AMP,divyabhaskar.co.in,/28928716/Divyabhaskar/AMP/M.DIVB_AMP_AL_BTF2_300x250,336x280,97,0.0
11343,20230423,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_BMP_RP",120x600,0,0.0
11351,20230423,Web,kookmutsjes.com,"21804848220,21908065997/ATD_Kook/ATD_300x250_INR1_AP_D",336x280,3,0.05
