,Date,Inventory Type,Site Name,Slot Name,Slot Size,Impressions,Earnings
4291,20230429,Web,kookmutsjes.com,"21804848220,21908065997/ATD_Kook/ATD_300x250_INR3_SP_D",336x280,1,0.0
4306,20230429,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_M_INR4_JP",160x600,0,0.0
4320,20230429,Web,glamourpath.com,"21804848220,22445109981/ATD_Glamourpath/ATD_970x90_FTR",728x90,20,0.05
4321,20230429,Web,mapsofworld.com,1152375/Chinese-300x250-mobile,300x250,0,0.0
4339,20230429,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_INR1_HP",970x90,0,0.0
4366,20230429,Web,casebriefs.com,175265624/ATD_CB_SIDEBAR_300X600,300x600,0,0.0
4367,20230429,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_300x600_M_INR1_HP",336x280,0,0.0
4396,20230429,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_INR2_CP",120x600,0,0.0
4399,20230429,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_EOA_CP",120x600,0,0.0
4406,20230429,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_970x250_MH_CP",970x90,0,0.0
4407,20230429,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_M_EOA_TAG",1x1,0,0.0
4417,20230429,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_300x250_M_EOA_TAG",336x280,0,0.0
4418,20230429,Web,playerswiki.com,/103512698/22868978639,200x200,0,0.0
4424,20230429,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_INR5_CP",970x90,0,0.0
4441,20230429,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_INR4_CP",336x280,0,0.0
4450,20230429,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_INR3_JP",970x250,0,0.0
4451,20230429,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_EOA_TAG",320x100,0,0.0
4464,20230429,Web,schoolofwordplay.com,"21804848220,22690441817/ATD_SchoolofWordPlay/ATD_300x600_RHS_CP",160x600,0,0.0
4484,20230429,Web,mapsofindia.com,/5535731/AMOI-120x600-left,120x600,0,0.0
4486,20230429,Web,funnyeditor.com,unknown,other,0,0.0
4490,20230429,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_INR4_RP",320x100,0,0.0
4495,20230429,AMP,bhaskar.com,/28928716/Bhaskar/AMP/M.DAB_AMP_BTF1_300x250,300x250,8183,1.3599999999999999
4496,20230429,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_300x250_M_INR3_RP",300x600,311,3.06
4497,20230429,Web,wallpaperaccess.com,"21804848220,22440675056/ATD_Wallpaperaccess/ATD_728x90_Footer",728x90,1629,2.98
4498,20230429,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_300x600_M_INR4_WP",320x50,0,0.0
4499,20230429,Web,avsim.com,"21804848220,22589072596/ATD_avsim/ATD_300x250_LB_TOP_M",300x250,1033,0.45
4500,20230429,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_970x250_AXT",970x250,21,0.25
4507,20230429,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_INR2_RP",300x250,539,2.67
4517,20230429,Web,kookmutsjes.com,"21804848220,21908065997/ATD_Kook/ATD_300x600_Sticky_RHS",300x600,2,0.0
4519,20230429,Web,playerswiki.com,/103512698/22868887444,970x90,0,0.0
4526,20230429,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_INR3_CP",320x50,0,0.0
4544,20230429,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_300x600_M_EOA_HP",300x600,0,0.0
4548,20230429,Web,schoolofwordplay.com,"21804848220,22690441817/ATD_SchoolofWordPlay/ATD_300x600_BMP_M_HP",336x280,1,0.0
4571,20230429,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_M_EOA_HP",300x600,0,0.0
4584,20230429,Web,schoolofwordplay.com,"21804848220,22690441817/ATD_SchoolofWordPlay/ATD_300x50_AXT",300x50,4,0.01
4585,20230429,Web,texashillcountry.com,"21804848220,22430105552/site/728x90",728x90,0,0.0
4604,20230429,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_970x250_EOA_CP",728x90,0,0.0
4605,20230429,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_300x600_M_INR1_HP",300x50,0,0.0
4607,20230429,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_300x250_M_INR2_TAG",120x600,0,0.0
4610,20230429,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_INR2_TAG",336x280,0,0.0
4615,20230429,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_300x250_M_INR2_TAG",300x100,0,0.0
4650,20230429,AMP,bhaskar.com,/28928716/Bhaskar/AMP/M.DAB_AMP_AL_ATF_300x250,300x100,1020,0.06
4651,20230429,Web,mapsofworld.com,1152375/ATD_MOW/ATD_320x50_GENERAL,320x50,260,0.16
4652,20230429,Web,thenewsminute.com,28110228/ATD_newsm/ATD_300x600_NewScroller,300x600,2099,0.39
