Date,Placement,Ad unit,Device category,Total impressions,Total clicks,Total CPM and CPC revenue ($),Total average eCPM ($),Total CTR,Total Active View % viewable impressions,Total Active View average viewable time (seconds),Programmatic eligible ad requests
7/12/23,Easiereats.com,ATD_EE » ATD_300x250_M_INR3_CP,Smartphone,258,0,0.87,3.36,0.00%,52.38%,3.43,297
7/12/23,Easiereats.com,ATD_EE » ATD_300x250_M_INR3_CP,Tablet,0,0,0.00,0.00,0.00%,0.00%,0.00,11
7/12/23,Easiereats.com,ATD_EE » ATD_300x250_M_INR3_RP,Desktop,1,0,0.00,1.49,0.00%,0.00%,0.00,4
7/12/23,Easiereats.com,ATD_EE » ATD_300x250_M_INR3_RP,Smartphone,"17,002",138,78.94,4.64,0.81%,73.57%,13.40,"18,208"
7/12/23,Easiereats.com,ATD_EE » ATD_300x250_M_INR3_RP,Tablet,414,3,1.82,4.41,0.72%,74.06%,15.03,578
7/12/23,Easiereats.com,ATD_EE » ATD_300x250_M_INR3_TAG,Smartphone,192,5,1.06,5.49,2.60%,55.79%,3.25,203
7/12/23,Easiereats.com,ATD_EE » ATD_300x250_M_INR3_TAG,Tablet,0,0,0.00,0.00,0.00%,0.00%,0.00,1
7/12/23,Easiereats.com,ATD_EE » ATD_300x250_M_MH_CP,Desktop,0,0,0.00,0.00,0.00%,0.00%,0.00,1
7/12/23,Easiereats.com,ATD_EE » ATD_300x250_M_MH_CP,Smartphone,152,0,0.58,3.80,0.00%,58.62%,9.71,184
7/12/23,Easiereats.com,ATD_EE » ATD_300x250_M_MH_CP,Tablet,0,0,0.00,0.00,0.00%,0.00%,0.00,10
7/12/23,Easiereats.com,ATD_EE » ATD_300x250_M_MH_TAG,Desktop,0,0,0.00,0.00,0.00%,0.00%,0.00,1
7/12/23,Easiereats.com,ATD_EE » ATD_300x250_M_MH_TAG,Smartphone,281,4,1.60,5.69,1.42%,56.68%,12.73,334
7/12/23,Easiereats.com,ATD_EE » ATD_300x250_M_MH_TAG,Tablet,1,0,0.00,2.50,0.00%,100.00%,2.79,5
7/12/23,Easiereats.com,ATD_EE » ATD_320x50_AXT,Desktop,10,0,0.02,2.09,0.00%,100.00%,11.33,12
7/12/23,Easiereats.com,ATD_EE » ATD_320x50_AXT,Smartphone,"15,839",34,24.26,1.53,0.21%,96.35%,25.72,"31,007"
7/12/23,Easiereats.com,ATD_EE » ATD_320x50_AXT,Tablet,"1,307",1,2.18,1.67,0.08%,96.83%,31.00,"2,149"
7/12/23,Easiereats.com,ATD_EE » ATD_320x50_M_Footer,Desktop,28,0,0.05,1.92,0.00%,71.43%,13.57,74
7/12/23,Easiereats.com,ATD_EE » ATD_320x50_M_Footer,Smartphone,"18,531",30,29.87,1.61,0.16%,87.18%,16.09,"51,908"
7/12/23,Easiereats.com,ATD_EE » ATD_320x50_M_Footer,Tablet,"1,578",2,2.81,1.78,0.13%,85.18%,22.48,"3,209"
7/12/23,Easiereats.com,ATD_EE » ATD_320x100_AXT,Smartphone,565,1,1.20,2.12,0.18%,86.73%,18.27,"1,184"
7/12/23,Easiereats.com,ATD_EE » ATD_320x100_AXT,Tablet,3,0,0.01,2.18,0.00%,66.67%,0.00,10
7/12/23,Easiereats.com,ATD_EE » ATD_320x100_M_MH_RP,Desktop,0,0,0.00,0.00,0.00%,0.00%,0.00,50
7/12/23,Easiereats.com,ATD_EE » ATD_320x100_M_MH_RP,Smartphone,"36,400",12,25.36,0.70,0.03%,54.33%,13.00,"51,772"
7/12/23,Easiereats.com,ATD_EE » ATD_320x100_M_MH_RP,Tablet,749,0,0.66,0.88,0.00%,36.56%,15.15,"2,749"
7/12/23,Easiereats.com,ATD_EE » ATD_320x100_TOP_RP,Smartphone,0,0,0.00,0.00,0.00%,0.00%,0.00,3
7/12/23,Easiereats.com,ATD_EE » ATD_336x280_AXT,Desktop,"2,382",16,6.54,2.74,0.67%,74.80%,21.47,"2,630"
7/12/23,Easiereats.com,ATD_EE » ATD_336x280_AXT,Smartphone,573,8,2.27,3.96,1.40%,60.56%,20.55,608
7/12/23,Easiereats.com,ATD_EE » ATD_336x280_AXT,Tablet,27,0,0.10,3.54,0.00%,62.96%,46.60,29
7/12/23,Easiereats.com,ATD_EE » ATD_728x90_AXT,Desktop,"22,590",110,60.30,2.67,0.49%,95.96%,24.68,"26,812"
7/12/23,Easiereats.com,ATD_EE » ATD_728x90_Footer,Desktop,"13,941",80,40.33,2.89,0.57%,94.86%,20.03,"20,039"
7/12/23,Easiereats.com,ATD_EE » ATD_728x90_Footer,Tablet,0,0,0.00,0.00,0.00%,0.00%,0.00,3
7/12/23,Easiereats.com,ATD_EE » ATD_970x90_AXT,Desktop,"1,779",26,6.14,3.45,1.46%,79.95%,27.91,"2,106"
7/12/23,Easiereats.com,ATD_EE » ATD_970x90_BMP_RP,Desktop,"11,738",82,32.46,2.77,0.70%,72.06%,16.62,"17,371"
7/12/23,Easiereats.com,ATD_EE » ATD_970x250_AXT,Desktop,"5,009",58,23.26,4.64,1.16%,81.57%,23.13,"5,612"
7/12/23,Easiereats.com,ATD_EE » ATD_970x250_EOA_CP,Desktop,72,0,0.33,4.63,0.00%,77.14%,13.10,78
7/12/23,Easiereats.com,ATD_EE » ATD_970x250_EOA_RP,Desktop,"7,727",46,37.90,4.90,0.60%,76.48%,20.10,"8,878"
7/12/23,Easiereats.com,ATD_EE » ATD_970x250_EOA_TAG,Desktop,90,0,0.50,5.52,0.00%,73.56%,7.69,96
7/12/23,Easiereats.com,ATD_EE » ATD_970x250_INR3_RP,Desktop,"11,592",88,52.89,4.56,0.76%,75.27%,19.04,"12,777"
7/12/23,Easiereats.com,ATD_EE » ATD_970x250_MH_CP,Desktop,82,0,0.44,5.36,0.00%,50.00%,8.54,111
7/12/23,Easiereats.com,ATD_EE » ATD_970x250_MH_HP,Desktop,189,1,1.33,7.02,0.53%,66.67%,11.48,281
7/12/23,Easiereats.com,ATD_EE » ATD_970x250_MH_RP,Desktop,"16,364",86,72.63,4.44,0.53%,58.13%,16.58,"19,747"
7/12/23,Easiereats.com,ATD_EE » ATD_970x250_MH_RP,Tablet,0,0,0.00,0.00,0.00%,0.00%,0.00,3
7/12/23,Easiereats.com,ATD_EE » ATD_970x250_MH_TAG,Desktop,115,2,0.68,5.93,1.74%,52.63%,20.57,159
