"Day","Property","Player Id","Player Name","Ad Impressions","Connatix Demand Revenue","Ad Wins"
"24-DEC-2023","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",2,0.01,2
"24-DEC-2023","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",86,0.11,86
"24-DEC-2023","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",4174,5.16,4174
"24-DEC-2023","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",3721,4.25,3721
"24-DEC-2023","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",2222,6.42,2222
"25-DEC-2023","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",1,0.00,1
"25-DEC-2023","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",68,0.10,68
"25-DEC-2023","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",4659,5.94,4659
"25-DEC-2023","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",2738,3.79,2738
"25-DEC-2023","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",2068,6.14,2068
"26-DEC-2023","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",2,0.01,2
"26-DEC-2023","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",34,0.04,34
"26-DEC-2023","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",3535,4.38,3535
"26-DEC-2023","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",2239,2.38,2239
"26-DEC-2023","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",2191,6.06,2191
"27-DEC-2023","cookingprofessionally.com","2618c795-6de1-4144-984c-05ff385dd7d4","CP - Article Recommendation",6,0.03,6
"27-DEC-2023","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",4,0.00,4
"27-DEC-2023","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",218,0.15,218
"27-DEC-2023","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",4857,5.89,4857
"27-DEC-2023","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",2862,3.21,2862
"27-DEC-2023","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",1940,5.32,1940
"28-DEC-2023","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",3,0.00,3
"28-DEC-2023","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",70,0.05,70
"28-DEC-2023","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",3515,5.12,3515
"28-DEC-2023","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",1810,2.68,1810
"28-DEC-2023","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",1552,3.81,1552
"29-DEC-2023","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",1,0.00,1
"29-DEC-2023","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",16,0.02,16
"29-DEC-2023","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",2084,3.52,2084
"29-DEC-2023","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",2966,3.06,2966
"29-DEC-2023","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",1897,4.64,1897
"30-DEC-2023","easiereats.com","485aff49-d3ca-4b7d-80e9-a88525a281ce","Easiereats - Article Recommendation - No float",0,0.00,0
"30-DEC-2023","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",0,0.00,0
"30-DEC-2023","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",27,0.02,27
"30-DEC-2023","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",1729,2.38,1729
"30-DEC-2023","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",2008,2.68,2008
"30-DEC-2023","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",2395,6.05,2395
"31-DEC-2023","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",1,0.00,1
"31-DEC-2023","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",24,0.02,24
"31-DEC-2023","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",913,1.02,913
"31-DEC-2023","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",1247,1.45,1247
"31-DEC-2023","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",1523,3.78,1523
"01-JAN-2024","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",0,0.00,0
"01-JAN-2024","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",11,0.02,11
"01-JAN-2024","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",312,0.44,312
"01-JAN-2024","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",412,0.54,412
