"Day","Property","Line Item Name","Ad Impressions","Publisher Demand Revenue","Connatix Demand Revenue","CPM ($)"
"11-DEC-2023","www.stilt.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",929,1.62,0.00,1.74
"12-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",25,0.01,0.00,0.50
"12-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",2,0.00,0.00,2.28
"12-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",5,0.01,0.00,1.35
"12-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",10,0.03,0.00,2.58
"12-DEC-2023","www.stilt.com","Media.net - S2S - Line Item",13,0.05,0.00,4.21
"12-DEC-2023","www.stilt.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",957,1.48,0.00,1.54
"13-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",19,0.01,0.00,0.50
"13-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",4,0.01,0.00,1.46
"13-DEC-2023","commandcooking.com","Smartadserver - Line item - CC",1,0.01,0.00,7.33
"13-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",5,0.01,0.00,2.50
"13-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",26,0.02,0.00,0.74
"13-DEC-2023","www.golaurens.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",1,0.00,0.00,1.50
"13-DEC-2023","www.stilt.com","Media.net - S2S - Line Item",12,0.03,0.00,2.64
"13-DEC-2023","www.stilt.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",759,0.91,0.00,1.20
"14-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",42,0.02,0.00,0.50
"14-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",1,0.00,0.00,1.19
"14-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",8,0.02,0.00,2.16
"14-DEC-2023","funnyeditor.com"," Conversant - FE - Line Item",1,0.00,0.00,2.80
"14-DEC-2023","funnyeditor.com","Media.net - Line item",1,0.00,0.00,1.62
"14-DEC-2023","texashillcountry.com","Rise Line Item",1,0.01,0.00,8.93
"14-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",19,0.04,0.00,2.12
"14-DEC-2023","www.stilt.com","Media.net - S2S - Line Item",7,0.03,0.00,4.42
"14-DEC-2023","www.stilt.com","OpenX - Stilt - Line Item",1,0.00,0.00,1.17
"14-DEC-2023","www.stilt.com","Pubmatic Line item",1,0.00,0.00,1.00
"14-DEC-2023","www.stilt.com","Pulsepoint - Stilt - Line Item",2,0.00,0.00,0.92
"14-DEC-2023","www.stilt.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",708,0.91,0.00,1.28
"15-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",98,0.05,0.00,0.50
"15-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",1,0.02,0.00,16.43
"15-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",19,0.03,0.00,1.66
"15-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",33,0.06,0.00,1.77
"15-DEC-2023","www.stilt.com","Media.net - S2S - Line Item",7,0.02,0.00,3.02
"15-DEC-2023","www.stilt.com","OpenX - Stilt - Line Item",1,0.00,0.00,2.27
"15-DEC-2023","www.stilt.com","Pulsepoint - Stilt - Line Item",2,0.00,0.00,2.06
"15-DEC-2023","www.stilt.com","Smartadserver - Line item - Stilt",4,0.00,0.00,1.08
"15-DEC-2023","www.stilt.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",764,0.76,0.00,1.00
"16-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",31,0.02,0.00,0.50
"16-DEC-2023","commandcooking.com","Smartadserver - Line item - CC",1,0.00,0.00,0.58
"16-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",51,0.08,0.00,1.49
"16-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",8,0.00,0.00,0.50
"16-DEC-2023","www.stilt.com","Media.net - S2S - Line Item",3,0.01,0.00,2.38
"16-DEC-2023","www.stilt.com","OpenX - Stilt - Line Item",1,0.00,0.00,2.60
"16-DEC-2023","www.stilt.com","Pulsepoint - Stilt - Line Item",5,0.01,0.00,2.20
"16-DEC-2023","www.stilt.com","Smartadserver - Line item - Stilt",4,0.01,0.00,2.23
