day;App/Site Domain Name;Gross Revenue;impressions;Estimated Net Revenue
2023-12-07T00:00:00;www.flickchart.com;0.694022;752;0.555218
2023-12-19T00:00:00;www.mirchi9.com;0.037927;64;0.030342
2023-12-19T00:00:00;www.westernjournal.com;0.691372;376;0.553098
2023-12-11T00:00:00;www.stilt.com;2.043833;1075;1.635066
2023-12-11T00:00:00;www.golaurens.com;0.779206;427;0.623365
2023-12-11T00:00:00;www.freepressjournal.in;0.205176;299;0.164141
2023-12-03T00:00:00;keralakaumudi.com;1.136478;1513;0.909182
2023-12-15T00:00:00;glamourpath.com;0.101110;100;0.080888
2023-12-15T00:00:00;texashillcountry.com;0.159367;76;0.127494
2023-12-15T00:00:00;britishmalayali.co.uk;0.062277;256;0.049822
2023-12-15T00:00:00;www.becauseofthemwecan.com;3.099612;4280;2.479690
2023-12-04T00:00:00;www.mirchi9.com;0.002280;3;0.001824
2023-12-04T00:00:00;www.popctrivia.com;0.772103;193;0.617682
2023-12-04T00:00:00;britishmalayali.co.uk;0.033276;202;0.026621
2023-12-16T00:00:00;easiereats.com;0.245054;82;0.196043
2023-12-08T00:00:00;mybaseguide.com;0.014719;6;0.011775
2023-12-20T00:00:00;calcsimple.com;0.000414;1;0.000331
2023-12-20T00:00:00;www.thenewsminute.com;0.024019;41;0.019215
2023-12-20T00:00:00;www.freepressjournal.in;0.113345;78;0.090676
2023-12-12T00:00:00;lazycooking.com;0.512931;104;0.410345
2023-12-12T00:00:00;recipesdirect.com;1.520442;201;1.216354
2023-12-12T00:00:00;www.flickchart.com;0.602430;872;0.481944
2023-12-05T00:00:00;m.riverbender.com;0.118429;186;0.094743
2023-12-17T00:00:00;m.thewire.in;0.125809;58;0.100647
2023-12-17T00:00:00;mybaseguide.com;0.002398;2;0.001918
2023-12-17T00:00:00;mamascooking.com;0.914425;190;0.731540
2023-12-17T00:00:00;goodcleanhumor.com;1.715459;405;1.372367
2023-12-17T00:00:00;www.riverbender.com;0.021681;9;0.017345
2023-12-17T00:00:00;www.standartnews.com;1.719212;1097;1.375370
2023-12-09T00:00:00;thewire.in;0.193458;86;0.154766
2023-12-09T00:00:00;glamourpath.com;0.118011;99;0.094409
2023-12-09T00:00:00;www.timeshighereducation.com;1.968166;1892;1.574533
2023-12-01T00:00:00;heartlandcooking.com;0.994390;353;0.795512
2023-12-01T00:00:00;www.freepressjournal.in;0.292726;283;0.234181
2023-12-13T00:00:00;nowtoronto.com;0.734857;751;0.587886
2023-12-13T00:00:00;recipesaver.com;2.201242;354;1.760994
2023-12-13T00:00:00;mamascooking.com;0.840102;122;0.672082
2023-12-13T00:00:00;marriedceleb.com;0.644139;373;0.515311
2023-12-13T00:00:00;www.riverbender.com;0.050278;21;0.040222
2023-12-13T00:00:00;www.keralakaumudi.com;0.004080;8;0.003264
2023-12-06T00:00:00;lazycooking.com;0.316689;101;0.253351
2023-12-06T00:00:00;cookingprofessionally.com;1.986577;587;1.589262
2023-12-18T00:00:00;www.binged.com;1.366403;1768;1.093122
2023-12-10T00:00:00;kookmutsjes.com;3.018879;2996;2.415103
2023-12-10T00:00:00;www.golaurens.com;0.942121;339;0.753697
2023-12-10T00:00:00;www.freepressjournal.in;0.234523;290;0.187618
2023-12-10T00:00:00;epaper.freepressjournal.in;0.021941;23;0.017553
2023-12-02T00:00:00;chartink.com;0.018135;21;0.014508
2023-12-02T00:00:00;glamourfame.com;0.137716;91;0.110173
2023-12-02T00:00:00;keralakaumudi.com;1.328310;1681;1.062648
2023-12-02T00:00:00;texashillcountry.com;0.366921;163;0.293537
2023-12-02T00:00:00;www.divyabhaskar.co.in;0.000047;1;0.000038
2023-12-02T00:00:00;www.downtoearth.org.in;0.070181;280;0.056145
2023-12-14T00:00:00;www.flickchart.com;1.194371;1142;0.955497
2023-12-14T00:00:00;britishmalayali.co.uk;0.038998;201;0.031198
2023-12-07T00:00:00;www.m9.news;1.373364;922;1.098691
2023-12-07T00:00:00;calcsimple.com;0.165942;177;0.132754
2023-12-19T00:00:00;recipereader.com;1.113720;198;0.890976
2023-12-19T00:00:00;www.thenewsminute.com;0.142271;340;0.113817
2023-12-19T00:00:00;www.freepressjournal.in;0.293193;484;0.234554
2023-12-19T00:00:00;www.britishmalayali.co.uk;0.183210;277;0.146568
2023-12-11T00:00:00;recipesdirect.com;0.977432;193;0.781946
2023-12-11T00:00:00;www.popctrivia.com;0.290835;86;0.232668
2023-12-11T00:00:00;cookingprofessionally.com;0.904566;203;0.723653
2023-12-03T00:00:00;www.m9.news;1.011904;731;0.809523
2023-12-03T00:00:00;recipesaver.com;1.462627;303;1.170102
2023-12-03T00:00:00;www.homernews.com;0.004566;11;0.003653
2023-12-03T00:00:00;goodcleanhumor.com;0.677283;127;0.541826
2023-12-03T00:00:00;www.standartnews.com;0.955710;423;0.764568
2023-12-03T00:00:00;www.marunadanmalayalee.com;0.838429;2161;0.670743
2023-12-15T00:00:00;m.riverbender.com;0.176822;229;0.141458
2023-12-15T00:00:00;heartlandcooking.com;2.885216;761;2.308173
2023-12-04T00:00:00;recipereader.com;2.274149;440;1.819319
2023-12-04T00:00:00;epaper.freepressjournal.in;0.047712;27;0.038170
2023-12-16T00:00:00;nowtoronto.com;0.644156;635;0.515325
2023-12-16T00:00:00;www.shmoop.com;0.134575;104;0.107660
2023-12-16T00:00:00;www.andysautosport.com;0.262408;247;0.209926
2023-12-16T00:00:00;www.marunadanmalayalee.com;0.711102;1643;0.568882
2023-12-08T00:00:00;easiereats.com;0.500905;183;0.400724
2023-12-20T00:00:00;taxguru.in;0.030685;65;0.024548
2023-12-20T00:00:00;wordthirst.com;0.003004;8;0.002403
2023-12-20T00:00:00;glamourfame.com;0.006871;8;0.005497
2023-12-12T00:00:00;www.m9.news;1.069301;876;0.855441
2023-12-12T00:00:00;m.thewire.in;0.342311;80;0.273849
2023-12-12T00:00:00;calcsimple.com;0.127681;132;0.102145
2023-12-12T00:00:00;commandcooking.com;2.687064;740;2.149651
2023-12-05T00:00:00;www.binged.com;1.047499;1239;0.837999
2023-12-17T00:00:00;taxguru.in;0.158235;170;0.126588
